id,reviews,rating
21369232,34,99.0
21369271,75,96.0
21369311,24,95.0
21369656,63,95.0
21378123,139,95.0
21378145,38,99.0
21379957,76,96.0
21380140,10,96.0
21381272,39,89.0
21382292,62,87.0
21383288,49,93.0
21383821,10,82.0
21383903,25,86.0
21384233,51,96.0
21384768,101,98.0
21385255,162,98.0
21385915,66,96.0
21386677,27,93.0
21390251,100,97.0
21392524,151,94.0
21394087,96,96.0
21394554,171,99.0
21394750,95,99.0
21398486,10,100.0
21399110,25,98.0
21399885,40,92.0
21404524,28,99.0
21405904,12,100.0
21408195,72,94.0
21411274,75,92.0
21413839,123,86.0
21413889,33,99.0
21414821,150,93.0
21421657,177,98.0
21422090,12,93.0
21422357,41,98.0
21422721,160,93.0
21423426,87,85.0
21426185,19,99.0
21427176,105,87.0
21427369,146,99.0
21428791,12,88.0
21429062,48,95.0
21431963,126,91.0
21433817,34,99.0
21434692,93,94.0
21434826,12,100.0
21435800,89,96.0
21435960,62,99.0
21436653,117,97.0
21437509,51,98.0
21437933,10,98.0
21440192,12,92.0
21440393,20,95.0
21440605,95,94.0
21444065,10,90.0
21448949,37,97.0
21450176,25,98.0
21450672,76,94.0
21451138,155,96.0
21454770,33,98.0
21455957,23,97.0
21457703,85,96.0
21458689,92,98.0
21458865,44,95.0
21458974,21,96.0
21460319,59,97.0
21460444,111,97.0
21460970,13,96.0
21461282,49,93.0
21469568,112,96.0
21471517,32,96.0
21471540,39,93.0
21472364,22,98.0
21473314,173,85.0
21474832,11,96.0
21475999,377,84.0
21477816,35,96.0
21483653,89,97.0
21485174,44,92.0
21485328,17,90.0
21486004,71,91.0
21487004,39,96.0
21490120,16,89.0
21491135,79,91.0
21496794,40,97.0
21499536,34,97.0
21499719,45,97.0
21501622,52,97.0
21502547,51,96.0
21503589,191,99.0
21503830,61,97.0
21504532,82,96.0
21504803,30,99.0
21504818,12,85.0
21505197,59,98.0
21505666,75,93.0
21513143,43,94.0
21515431,48,93.0
21516275,69,93.0
21517530,145,98.0
21517564,131,95.0
21519958,45,93.0
21524671,91,96.0
21524675,52,93.0
21527485,89,86.0
21529679,81,99.0
21530044,26,94.0
21530562,88,99.0
21531023,90,93.0
21531318,23,92.0
21535750,101,92.0
21537562,23,100.0
21538855,76,97.0
21540035,13,100.0
21540314,42,97.0
21540496,88,96.0
21540737,98,96.0
21541423,74,93.0
21541783,19,93.0
21547318,29,99.0
21547791,20,88.0
21549541,13,88.0
21549554,73,99.0
21549898,22,97.0
21550242,14,97.0
21550437,32,93.0
21550808,67,95.0
21551617,20,99.0
21551817,58,99.0
21558456,21,96.0
21560584,13,100.0
21561860,24,80.0
21561964,48,95.0
21562307,88,93.0
21564599,33,99.0
21565383,178,93.0
21566845,46,94.0
21566887,70,94.0
21566909,59,98.0
21568187,26,91.0
21570741,22,96.0
21577526,20,100.0
21577856,62,97.0
21578157,143,94.0
21581457,50,100.0
21581545,252,93.0
21582010,23,98.0
21583472,10,91.0
21584047,92,88.0
21588023,38,95.0
21588805,24,98.0
21589780,28,96.0
21589992,95,100.0
21591942,92,97.0
21592157,34,98.0
21592694,62,96.0
21593310,351,94.0
21594210,199,92.0
21596214,15,97.0
21596520,149,97.0
21596559,55,97.0
21596854,14,98.0
21597684,18,96.0
21604823,79,95.0
21607905,109,88.0
21608855,44,97.0
21609205,175,95.0
21609424,194,89.0
21609824,12,100.0
21618858,39,97.0
21618966,12,90.0
21619569,181,93.0
21620762,129,99.0
21621926,27,90.0
21627791,87,86.0
21628066,98,90.0
21630372,72,99.0
21632527,40,96.0
21632690,27,98.0
21632846,43,94.0
21633212,76,96.0
21633295,110,98.0
21634030,124,96.0
21635015,13,98.0
21635399,14,99.0
21638538,48,98.0
21640455,113,96.0
21642995,34,95.0
21643550,63,100.0
21644752,22,100.0
21644783,35,91.0
21646774,294,92.0
21647076,10,90.0
21647932,17,91.0
21648513,23,92.0
21649695,26,94.0
21651023,188,97.0
21656310,16,93.0
21664152,54,96.0
21664501,16,100.0
21664533,17,99.0
21664702,51,96.0
21666229,102,99.0
21667120,19,89.0
21667658,28,99.0
21667733,40,99.0
21669322,13,98.0
21672349,12,98.0
21673236,10,96.0
21678477,41,92.0
21682476,10,100.0
21682924,13,100.0
21683372,33,95.0
21694908,59,99.0
21698351,37,99.0
21698446,132,92.0
21700378,27,100.0
21703746,47,100.0
21707614,11,98.0
21709891,88,96.0
21710003,40,99.0
21711085,43,96.0
21711690,90,92.0
21711746,40,88.0
21712433,10,100.0
