id,hood,zipcode,guests,sqft,price
291714,Brooklyn,11213,6,,120
291764,Brooklyn,11211,1,,65
291812,Queens,11102,2,,70
292047,Manhattan,10014,1,,90
292121,Manhattan,10019,3,,199
292266,Brooklyn,11237,1,,50
292637,Brooklyn,11238,3,250.0,100
293004,Manhattan,10027,2,,110
293837,Brooklyn,11206,4,,157
294227,Brooklyn,11222,4,,199
294239,Queens,11106,6,,192
294242,Brooklyn,11222,4,,199
294250,Manhattan,10023,4,,150
294259,Brooklyn,11222,4,,199
294263,Brooklyn,11222,4,,199
294280,Brooklyn,11222,4,,199
294490,Brooklyn,11222,4,,199
294717,Brooklyn,11211,2,,125
295231,Brooklyn,11206,1,,60
295998,Manhattan,10025,2,,300
296361,Queens,11373,1,,55
296658,Brooklyn,11225,1,,44
296717,Brooklyn,11205,3,,55
296844,Brooklyn,11211,2,,30
297611,Brooklyn,11205,1,,35
298033,Manhattan,10035,2,80.0,75
298759,Brooklyn,11216,2,,55
298854,Brooklyn,11211,1,,75
299062,Manhattan,10075,2,,190
299531,Brooklyn,11207,7,,95
301372,Brooklyn,11217,1,,50
302057,Brooklyn,11218,2,,75
302309,Manhattan,10027,9,,250
302705,Manhattan,10021,1,,60
302758,Manhattan,10035,2,,150
